ID;title;rank;minWormholeSkill;department_ID
b0000000-0000-4000-8000-000000000001;Navigator Cadet;1;1;d0000000-0000-4000-8000-000000000001
b0000000-0000-4000-8000-000000000002;Wormhole Pilot;5;6;d0000000-0000-4000-8000-000000000001
b0000000-0000-4000-8000-000000000003;Chief Navigator;9;9;d0000000-0000-4000-8000-000000000001
b0000000-0000-4000-8000-000000000004;Stardust Prospector;2;1;d0000000-0000-4000-8000-000000000002
b0000000-0000-4000-8000-000000000005;Mining Foreman;6;3;d0000000-0000-4000-8000-000000000002
b0000000-0000-4000-8000-000000000006;Junior Envoy;2;1;d0000000-0000-4000-8000-000000000003
b0000000-0000-4000-8000-000000000007;Ambassador;8;4;d0000000-0000-4000-8000-000000000003
b0000000-0000-4000-8000-000000000008;Hull Technician;3;1;d0000000-0000-4000-8000-000000000004
b0000000-0000-4000-8000-000000000009;Warp Core Engineer;7;5;d0000000-0000-4000-8000-000000000004
b0000000-0000-4000-8000-000000000010;Field Xenobiologist;4;2;d0000000-0000-4000-8000-000000000005
b0000000-0000-4000-8000-000000000011;Flight Controller;5;3;d0000000-0000-4000-8000-000000000006
b0000000-0000-4000-8000-000000000012;Rescue Commander;9;8;d0000000-0000-4000-8000-000000000006
